"youtuber","category","category_top","country","continent","highest_monthly_earnings","created_year","subscribers","subscriber_tier","video_views"
"DanTDM","Gaming","Gaming","United Kingdom","Europe","314700.00",2012,27400000,"10M-100M","19417887510"
"��� Kids Roma Show","People & Blogs","People & Blogs","United States","North America","703400.00",2015,27400000,"10M-100M","10336420490"
"Nick Jr.","Film & Animation","Film & Animation","United States","North America","170200.00",2012,27300000,"10M-100M","22440611155"
"Crazy XYZ","Entertainment","Entertainment","India","Asia","408900.00",2017,27300000,"10M-100M","7705492350"
"Gulshan Kalra","Howto & Style","Other","Nothing","Other","2000000.00",2018,27100000,"10M-100M","12732444881"
"Dushyant kukreja","Entertainment","Entertainment","India","Asia","1700000.00",2015,27100000,"10M-100M","17318452893"
"ToyPuddingTV","Entertainment","Entertainment","Nothing","Other","0.06",2017,27100000,"10M-100M","15916882228"
"Brent Rivera","Comedy","Comedy","United States","North America","577800.00",2009,27000000,"10M-100M","6570935979"
"Renato Garcia YT","Entertainment","Entertainment","Brazil","South America","331600.00",2011,26900000,"10M-100M","7938616641"
"Netflix","Entertainment","Entertainment","United States","North America","472900.00",2012,26700000,"10M-100M","7173668905"
"Beast Reacts","People & Blogs","People & Blogs","United States","North America","1100000.00",2016,26700000,"10M-100M","4388047013"
"enchufetv","Comedy","Comedy","Colombia","South America","97500.00",2011,26700000,"10M-100M","10317306313"
"Raffy Tulfo in Action","News & Politics","Other","Philippines","Asia","652500.00",2016,26500000,"10M-100M","15065753455"
"WORLDSTARHIPHOP","Music","Music","United States","North America","356400.00",2008,26500000,"10M-100M","20358117330"
"Goldmines Bollywood","Film & Animation","Film & Animation","India","Asia","398700.00",2015,26400000,"10M-100M","8595760553"
"Alan Chikin Chow","Comedy","Comedy","United States","North America","4200000.00",2020,26400000,"10M-100M","27006526665"
"PANDA BOI","Entertainment","Entertainment","Italy","Europe","4900000.00",2020,26400000,"10M-100M","17211600007"
"BB Ki Vines","Entertainment","Entertainment","India","Asia","69100.00",2015,26300000,"10M-100M","4749833967"
"D Billions","nan","Other","United States","North America","1900000.00",2019,26200000,"10M-100M","31977463002"
"Junya.����","Entertainment","Entertainment","Japan","Asia","2900000.00",2020,26200000,"10M-100M","16097531087"
"Smosh","Comedy","Comedy","United States","North America","272600.00",2005,26100000,"10M-100M","10435474336"
"1MILLION Dance Studio","Entertainment","Entertainment","Saudi Arabia","Other","0.00",2019,26100000,"10M-100M","7886440199"
"NichLmao","People & Blogs","People & Blogs","Nothing","Other","2400000.00",2018,26000000,"10M-100M","14101010609"
"Mar�����","Music","Music","Nothing","Other","0.01",2008,26000000,"10M-100M","18597534412"
"Beyonc�","Music","Music","United States","North America","221800.00",2005,26000000,"10M-100M","17308961985"
"Indosiar","Music","Music","Indonesia","Asia","920700.00",2013,25900000,"10M-100M","11372071889"
"VanossGaming","Gaming","Gaming","Canada","North America","219800.00",2011,25800000,"10M-100M","15541421838"
"Nicki Minaj","Music","Music","United States","North America","414500.00",2013,25700000,"10M-100M","10242981063"
