"youtuber","category","country","category_top","country (1)","continent","subscribers","video_views","max_monthly_earnings","score","year"
"Aphmau","Gaming","United States","Gaming","United States","North America","17400000","17763586483","1800000.00","7111194593",2012
"Enrique Iglesias","Music","United States","Music","United States","North America","23800000","17688774915","491700.00","7082797476",2007
"Ishtar Music","Trailers","India","Other","India","Asia","41400000","17608931161","723800.00","7056209604",2005
"mmoshaya","People & Blogs","Saudi Arabia","People & Blogs","Saudi Arabia","Other","22600000","17507060680","295300.00","7009692862",2010
"Dan Rhodes","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","24800000","17387583720","1300000.00","6962863488",2015
"Coldplay","Music","United Kingdom","Music","United Kingdom","Europe","25300000","17331663193","795500.00","6940493927",2010
"Romeo Santos","Music","United States","Music","United States","North America","20900000","17324976752","0.40","6936260701",2006
"Dushyant kukreja","Entertainment","India","Entertainment","India","Asia","27100000","17318452893","1700000.00","6936021157",2015
"Beyonc�","Music","United States","Music","United States","North America","26000000","17308961985","221800.00","6931451334",2005
"El Payaso Plim Plim","Film & Animation","Argentina","Film & Animation","Argentina","South America","17700000","17247584185","2600000.00","6905123674",2013
"PANDA BOI","Entertainment","Italy","Entertainment","Italy","Europe","26400000","17211600007","4900000.00","6894030003",2020
"Ultra Records","Music","United States","Music","United States","North America","29600000","17208027242","327500.00","6892189147",2006
"The Tonight Show Starring Jimmy Fallon","Comedy","United States","Comedy","United States","North America","31200000","17111726160","0.00","6854050464",2006
"ImagineDragons","Music","United States","Music","United States","North America","30700000","16793072362","755300.00","6726665535",2009
"Goldmines Gaane Sune Ansune","Music","India","Music","India","Asia","38300000","16718192386","3300000.00","6699756954",2015
"Zee News","News & Politics","India","Other","India","Asia","30500000","16709857823","1800000.00","6693633129",2007
"Mundo Bita","Music","Brazil","Music","Brazil","South America","12500000","16690788752","854800.00","6680321941",2011
"WowKidz","Film & Animation","Nothing","Film & Animation","Nothing","Other","32200000","16613441479","0.00","6655036592",2006
"Felipe Neto","Entertainment","Brazil","Entertainment","Brazil","South America","45200000","16602198273","521400.00","6654595729",2006
